Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSG00000184515,BEX5,Gene Expression,0.08795468129956238,0.0,0.0,4431,0.3682195099475417,3365
ENSG00000196776,CD47,Gene Expression,0.08793693487186098,0.0,0.0,41170,3.2631573073158,10674
ENSG00000175826,CTDNEP1,Gene Expression,0.08791363068754943,0.0,0.0,15201,1.2271136885340088,7842
ENSG00000100100,PIK3IP1,Gene Expression,0.08789771173304389,0.0,0.0,6824,0.6108703527977225,4763
ENSG00000145934,TENM2,Gene Expression,0.08784096916037007,0.0,0.0,15309,1.185468902722321,7628
ENSG00000198682,PAPSS2,Gene Expression,0.08778705559059499,0.0,0.0,3857,0.37115073873288723,2995
ENSG00000106665,CLIP2,Gene Expression,0.0877706460172744,0.0,0.0,6163,0.5426808626002447,4411
ENSG00000145623,OSMR,Gene Expression,0.0877146936433598,0.0,0.0,20342,1.6605054871975564,8767
ENSG00000176490,DIRAS1,Gene Expression,0.08767034478959565,0.0,0.0,2523,0.22314592133831399,2045
ENSG00000004534,RBM6,Gene Expression,0.08756892819367498,0.0,0.0,47250,3.8128496626381527,10944
ENSG00000117906,RCN2,Gene Expression,0.08752111847728831,0.0,0.0,22583,1.7585064625732052,9093
ENSG00000134533,RERG,Gene Expression,0.08741331708587986,0.0,0.0,1895,0.1798500998839757,1591
ENSG00000145675,PIK3R1,Gene Expression,0.08738155015967457,0.0,0.0,26709,2.2873211714191672,9922
ENSG00000156486,KCNS2,Gene Expression,0.08736430763606523,0.0,0.0,1200,0.10900025853492414,1031
ENSG00000132613,MTSS2,Gene Expression,0.087363129904276,0.0,0.0,37645,3.10735709430769,10658
ENSG00000122012,SV2C,Gene Expression,0.08731281418848671,0.0,0.0,615,0.05251935295988104,500
ENSG00000224877,NDUFAF8,Gene Expression,0.08728112410430966,0.0,0.0,42692,3.431809388702791,10825
ENSG00000113805,CNTN3,Gene Expression,0.08724869213076103,0.0,0.0,1351,0.13632018948872512,1187
ENSG00000017260,ATP2C1,Gene Expression,0.08724300877802409,0.0,0.0,44914,3.6009007362212406,10910
ENSG00000173801,JUP,Gene Expression,0.08723090569781182,0.0,0.0,23308,1.866649570073071,9275
ENSG00000166471,TMEM41B,Gene Expression,0.08706044834937797,0.0,0.0,30248,2.356012496527004,9938
ENSG00000168135,KCNJ4,Gene Expression,0.08705855229105308,0.0,0.0,1355,0.11811431848683979,1152
ENSG00000132692,BCAN,Gene Expression,0.08704289363064935,0.0,0.0,862,0.08164919178922933,729
ENSG00000122584,NXPH1,Gene Expression,0.08703204319884662,0.0,0.0,1189,0.10353671704831721,927
ENSG00000173918,C1QTNF1,Gene Expression,0.08697616749106361,0.0,0.0,10962,0.984526840457131,6657
ENSG00000143126,CELSR2,Gene Expression,0.08697013759808671,0.0,0.0,2462,0.21956688848244263,2016
ENSG00000135926,TMBIM1,Gene Expression,0.0869268373293507,0.0,0.0,39232,3.1147209088714125,10605
ENSG00000197430,OPALIN,Gene Expression,0.0867672438749029,0.0,0.0,153,0.014070540591245028,139
ENSG00000178252,WDR6,Gene Expression,0.08655645299234907,0.0,0.0,31949,2.5859953514318423,10214
ENSG00000101040,ZMYND8,Gene Expression,0.08647918754034,0.0,0.0,29183,2.3188501780750324,9935
ENSG00000164588,HCN1,Gene Expression,0.086473970202303,0.0,0.0,2672,0.23491464095021547,2142
ENSG00000166886,NAB2,Gene Expression,0.08644428376093265,0.0,0.0,11445,0.9427839607032709,6666
ENSG00000138795,LEF1,Gene Expression,0.0864359549479694,0.0,0.0,4947,0.4471392176824277,3708
ENSG00000121578,B4GALT4,Gene Expression,0.08640529649264228,0.0,0.0,19794,1.5485581879150483,8677
ENSG00000197586,ENTPD6,Gene Expression,0.0863130495357471,0.0,0.0,25161,1.9698236112560805,9410
ENSG00000181458,TMEM45A,Gene Expression,0.08627733003784673,0.0,0.0,14924,1.1751210568382202,7675
ENSG00000057757,PITHD1,Gene Expression,0.0861548726950221,0.0,0.0,13719,1.1527568493383744,7326
ENSG00000122642,FKBP9,Gene Expression,0.08611473186632315,0.0,0.0,28283,2.2301532332945055,9794
ENSG00000049656,CLPTM1L,Gene Expression,0.08610497361589747,0.0,0.0,31872,2.5543349437078535,10189
ENSG00000149926,TLCD3B,Gene Expression,0.08609718328774073,0.0,0.0,1335,0.12219560633615245,1128
ENSG00000213578,CPLX3,Gene Expression,0.08606626247434265,0.0,0.0,550,0.05614511958155272,501
ENSG00000130202,NECTIN2,Gene Expression,0.08606083367633975,0.0,0.0,28480,2.3063135419059035,9922
